,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
116,32,admin.,married,secondary,no,1031,yes,no,cellular,17,jul,84,1,-1,0,unknown,no
117,37,management,married,tertiary,no,393,yes,no,cellular,14,may,567,3,275,4,failure,yes
118,30,management,single,tertiary,no,329,yes,no,unknown,6,jun,122,16,-1,0,unknown,no
119,39,blue-collar,married,primary,no,111,no,no,cellular,18,nov,201,2,-1,0,unknown,no
120,34,admin.,married,secondary,no,244,yes,no,cellular,31,jul,56,4,-1,0,unknown,no
121,31,technician,married,secondary,no,2363,yes,no,unknown,13,may,247,1,-1,0,unknown,no
122,46,blue-collar,married,secondary,no,137,no,no,unknown,20,jun,252,3,-1,0,unknown,no
123,57,technician,divorced,primary,no,13,yes,no,cellular,8,may,323,2,368,2,failure,no
124,32,management,married,secondary,no,350,yes,no,unknown,28,may,110,2,-1,0,unknown,no
125,47,housemaid,married,primary,no,0,no,no,cellular,10,aug,1225,2,-1,0,unknown,no
126,38,services,married,secondary,no,8876,no,no,cellular,2,feb,280,1,75,1,failure,no
127,27,admin.,married,secondary,no,186,yes,no,unknown,27,may,136,2,-1,0,unknown,no
128,51,technician,married,tertiary,no,2506,no,no,cellular,30,nov,210,3,-1,0,unknown,no
129,53,blue-collar,single,secondary,no,5715,no,no,cellular,28,jan,287,2,-1,0,unknown,no
130,35,management,married,tertiary,no,93,no,no,cellular,4,may,198,2,88,1,other,no
131,45,management,married,tertiary,no,1529,no,no,cellular,30,jun,160,1,-1,0,unknown,no
132,40,technician,married,secondary,no,2715,yes,no,unknown,29,may,125,2,-1,0,unknown,no
133,26,unemployed,single,secondary,no,1064,no,no,unknown,31,may,113,1,-1,0,unknown,no
134,60,retired,married,primary,no,71,no,no,cellular,10,jul,121,3,-1,0,unknown,no
135,56,management,single,secondary,no,237,yes,no,telephone,9,jul,236,4,-1,0,unknown,no
136,33,management,single,tertiary,no,-53,no,no,cellular,29,jan,617,2,-1,0,unknown,no
137,41,self-employed,married,tertiary,no,6000,yes,no,cellular,18,nov,265,1,-1,0,unknown,no
138,55,blue-collar,married,secondary,no,471,yes,no,unknown,30,may,58,2,-1,0,unknown,no
139,27,blue-collar,divorced,secondary,no,1,yes,no,cellular,14,jul,116,3,-1,0,unknown,no
140,54,technician,divorced,secondary,no,1114,yes,no,cellular,30,jan,81,1,-1,0,unknown,no
141,38,blue-collar,divorced,secondary,no,889,no,yes,unknown,18,jun,362,1,-1,0,unknown,no
142,56,management,single,tertiary,no,15311,no,no,cellular,29,apr,157,6,-1,0,unknown,no
143,45,blue-collar,single,secondary,no,0,yes,no,cellular,26,jul,768,2,91,5,success,no
144,62,self-employed,divorced,tertiary,no,6,yes,no,cellular,13,oct,216,1,183,4,success,yes
145,48,services,single,unknown,no,5095,yes,no,unknown,16,jun,71,1,-1,0,unknown,no
146,48,blue-collar,single,tertiary,no,2330,yes,no,unknown,4,jun,15,1,-1,0,unknown,no
147,26,admin.,married,secondary,no,0,no,no,unknown,27,may,755,1,-1,0,unknown,no
148,27,technician,married,secondary,no,7,yes,no,unknown,15,may,98,2,-1,0,unknown,no
149,39,services,married,secondary,no,1438,yes,no,unknown,20,may,212,2,-1,0,unknown,no
150,36,management,single,tertiary,no,260,yes,no,cellular,7,may,49,1,-1,0,unknown,no
151,30,management,married,tertiary,no,1882,yes,no,cellular,11,aug,249,5,-1,0,unknown,no
152,74,retired,married,secondary,no,935,no,no,cellular,26,jan,100,1,104,1,other,no
153,36,blue-collar,married,secondary,no,1409,no,no,unknown,17,jun,235,2,-1,0,unknown,no
154,44,admin.,married,secondary,no,205,no,no,cellular,3,nov,289,1,-1,0,unknown,yes
155,30,management,single,tertiary,no,2,no,no,cellular,16,jun,102,1,85,1,failure,no
156,33,services,divorced,secondary,no,2411,yes,no,cellular,23,oct,130,1,161,1,failure,yes
157,58,retired,married,secondary,no,413,no,no,cellular,27,aug,104,5,-1,0,unknown,no
158,36,services,married,secondary,no,3064,yes,no,telephone,26,aug,240,3,107,4,failure,no
159,36,services,married,secondary,no,42,yes,no,unknown,8,may,102,4,-1,0,unknown,no
160,42,unemployed,single,secondary,no,2613,yes,no,cellular,30,jul,174,6,-1,0,unknown,no
161,27,blue-collar,single,primary,no,-79,yes,no,unknown,30,may,385,5,-1,0,unknown,no
162,33,services,married,secondary,no,210,yes,yes,unknown,20,may,201,1,-1,0,unknown,no
163,38,entrepreneur,single,secondary,no,2543,no,no,cellular,10,aug,223,1,414,4,failure,yes
164,41,blue-collar,single,unknown,no,4684,no,no,unknown,20,jun,30,6,-1,0,unknown,no
165,27,technician,single,secondary,no,489,yes,no,cellular,30,jul,356,4,-1,0,unknown,yes
166,41,technician,married,secondary,no,902,no,no,unknown,16,jun,35,6,-1,0,unknown,no
167,36,management,married,tertiary,no,2987,yes,no,cellular,12,aug,307,1,-1,0,unknown,yes
168,34,blue-collar,single,secondary,no,215,no,no,cellular,3,mar,350,3,-1,0,unknown,yes
169,40,self-employed,married,tertiary,no,1603,no,no,unknown,17,jun,279,1,-1,0,unknown,no
170,52,technician,married,secondary,no,64,no,no,telephone,29,aug,20,2,-1,0,unknown,no
171,29,management,single,tertiary,no,572,no,no,cellular,16,dec,314,1,195,1,success,yes
172,44,services,married,secondary,no,27,no,no,cellular,25,may,485,1,-1,0,unknown,no
173,42,management,married,tertiary,no,372,yes,no,cellular,3,aug,654,2,-1,0,unknown,yes
174,46,management,married,secondary,no,12186,no,no,unknown,20,jun,29,3,-1,0,unknown,no
175,34,management,single,secondary,no,0,no,no,cellular,22,aug,132,4,-1,0,unknown,no
176,26,blue-collar,single,primary,no,3342,yes,no,unknown,4,jun,329,4,-1,0,unknown,no
177,46,management,divorced,secondary,no,-852,no,yes,cellular,29,aug,728,2,-1,0,unknown,no
178,36,management,married,tertiary,no,-381,yes,no,cellular,31,jul,30,29,-1,0,unknown,no
179,36,services,single,secondary,no,398,yes,yes,unknown,17,jun,77,2,-1,0,unknown,no
180,38,technician,married,secondary,no,740,no,no,cellular,7,aug,259,3,-1,0,unknown,no
181,32,services,married,secondary,no,55,yes,no,unknown,15,may,546,9,-1,0,unknown,no
182,27,technician,single,secondary,no,158,no,no,unknown,1,jul,650,2,-1,0,unknown,yes
183,36,blue-collar,married,primary,no,123,yes,no,cellular,18,may,9,1,-1,0,unknown,no
184,57,services,single,primary,no,3777,yes,no,telephone,13,may,65,2,-1,0,unknown,no
185,49,housemaid,married,primary,no,889,no,no,telephone,7,jul,388,1,-1,0,unknown,yes
186,35,technician,single,tertiary,no,3552,no,no,cellular,21,nov,267,1,-1,0,unknown,no
187,58,retired,married,secondary,no,502,yes,no,cellular,12,may,197,2,370,3,failure,no
188,37,blue-collar,divorced,secondary,no,33,yes,no,cellular,20,nov,106,2,167,1,failure,no
189,41,admin.,married,secondary,no,5110,yes,no,cellular,13,apr,231,1,-1,0,unknown,no
190,29,services,single,secondary,no,209,yes,no,cellular,28,jul,487,7,-1,0,unknown,no
191,38,services,single,secondary,no,2253,yes,no,cellular,13,may,937,3,-1,0,unknown,yes
192,40,housemaid,married,secondary,no,4610,no,no,cellular,14,aug,154,2,-1,0,unknown,no
193,39,technician,divorced,tertiary,yes,3,no,no,cellular,6,may,488,1,-1,0,unknown,yes
194,45,entrepreneur,married,primary,no,58,yes,no,telephone,13,may,119,3,371,3,failure,no
195,49,admin.,married,secondary,no,14440,yes,no,cellular,21,nov,60,1,-1,0,unknown,no
196,40,management,married,tertiary,no,1734,yes,no,unknown,2,jun,169,1,-1,0,unknown,no
197,53,services,divorced,secondary,no,765,yes,no,cellular,14,may,959,3,174,7,other,yes
198,42,admin.,divorced,secondary,no,63,no,no,unknown,16,may,88,6,-1,0,unknown,no
199,30,technician,single,tertiary,no,799,yes,yes,unknown,6,jun,91,18,-1,0,unknown,no
200,75,retired,married,secondary,no,3771,no,no,telephone,15,apr,185,1,181,2,success,yes
201,33,blue-collar,married,primary,no,-195,no,no,unknown,20,sep,9,1,-1,0,unknown,no
202,41,management,divorced,tertiary,no,3355,no,no,cellular,14,oct,181,2,500,1,failure,no
203,38,management,single,tertiary,no,104,yes,no,cellular,6,may,606,3,-1,0,unknown,yes
204,39,technician,single,tertiary,no,-41,no,yes,cellular,25,aug,40,15,-1,0,unknown,no
205,53,services,married,secondary,no,4994,no,no,cellular,18,aug,62,6,-1,0,unknown,no
206,43,technician,married,secondary,no,764,yes,no,cellular,14,jul,557,5,-1,0,unknown,no
207,34,management,single,tertiary,no,-292,yes,no,cellular,19,aug,181,6,-1,0,unknown,no
208,47,management,married,tertiary,no,2306,no,no,telephone,6,aug,239,4,-1,0,unknown,yes
209,31,technician,married,secondary,no,0,no,yes,cellular,19,aug,144,4,-1,0,unknown,no
210,35,blue-collar,married,primary,no,-12,yes,no,unknown,12,may,212,5,-1,0,unknown,no
211,31,blue-collar,single,primary,no,-495,yes,no,unknown,29,may,334,2,-1,0,unknown,no
212,39,management,married,tertiary,no,894,yes,no,cellular,20,apr,491,1,326,1,other,no
213,51,management,married,tertiary,no,-15,no,no,cellular,25,jul,212,2,-1,0,unknown,no
214,27,services,married,secondary,no,100,no,no,cellular,16,jul,57,2,-1,0,unknown,no
215,41,blue-collar,married,secondary,no,343,yes,no,unknown,14,may,89,7,-1,0,unknown,no
216,57,management,married,primary,no,-226,yes,no,unknown,4,jun,272,1,-1,0,unknown,no
217,35,blue-collar,married,primary,no,298,yes,no,cellular,13,may,135,2,370,2,failure,no
218,32,blue-collar,single,secondary,no,604,no,yes,cellular,28,may,95,3,-1,0,unknown,no
219,36,blue-collar,married,secondary,no,13,no,no,unknown,3,jun,284,1,-1,0,unknown,no
220,46,housemaid,married,primary,no,19,yes,no,telephone,21,jul,171,1,-1,0,unknown,no
221,51,technician,married,secondary,no,143,yes,no,unknown,16,may,627,1,-1,0,unknown,no
222,52,management,divorced,tertiary,no,907,yes,no,unknown,4,jun,104,2,-1,0,unknown,no
223,36,services,married,secondary,no,-302,yes,no,cellular,13,may,36,2,-1,0,unknown,no
224,51,blue-collar,married,primary,no,-11,no,no,telephone,16,jul,126,4,-1,0,unknown,no
225,34,management,married,tertiary,no,136,yes,no,cellular,22,apr,156,1,-1,0,unknown,no
226,28,unemployed,single,secondary,no,304,no,no,cellular,14,jun,516,1,-1,0,unknown,no
227,32,technician,single,tertiary,no,741,yes,no,cellular,11,aug,238,1,-1,0,unknown,no
228,38,management,single,tertiary,no,16957,yes,no,telephone,29,jan,208,1,247,2,failure,no
229,32,services,married,tertiary,no,4908,no,yes,cellular,13,may,491,2,-1,0,unknown,no
230,35,entrepreneur,single,tertiary,no,145,yes,no,cellular,18,jul,799,2,-1,0,unknown,yes
231,50,blue-collar,married,primary,no,8139,yes,no,cellular,18,aug,256,6,-1,0,unknown,no
232,43,management,married,secondary,no,17555,no,no,cellular,26,aug,14,14,-1,0,unknown,no
233,47,blue-collar,married,primary,no,881,yes,no,cellular,14,may,143,1,370,2,failure,no
234,34,technician,single,tertiary,no,9851,yes,no,cellular,20,nov,128,5,-1,0,unknown,no
235,59,technician,married,primary,no,4198,no,no,cellular,14,jan,309,1,91,10,success,yes
236,48,management,married,primary,no,3230,yes,no,telephone,20,nov,207,3,-1,0,unknown,no
237,39,services,married,secondary,no,124,yes,no,cellular,31,jul,81,5,-1,0,unknown,no
238,46,management,divorced,tertiary,no,6269,yes,no,telephone,18,nov,249,3,112,2,failure,no
239,46,management,divorced,tertiary,no,225,yes,no,cellular,14,may,201,1,345,1,other,no
240,35,blue-collar,divorced,secondary,no,275,no,yes,cellular,10,jul,144,5,-1,0,unknown,no
241,39,blue-collar,married,primary,no,7685,yes,no,cellular,14,apr,493,3,-1,0,unknown,no
242,31,technician,single,secondary,no,775,no,no,cellular,2,feb,361,1,-1,0,unknown,no
243,29,management,married,tertiary,no,318,yes,no,cellular,18,may,1434,2,356,4,failure,no
244,35,blue-collar,married,primary,no,11,yes,no,unknown,13,may,326,4,-1,0,unknown,no
245,41,admin.,married,tertiary,no,1536,no,no,cellular,4,may,54,2,-1,0,unknown,no
246,30,blue-collar,married,secondary,no,-28,yes,no,cellular,18,may,284,2,371,1,failure,no
247,58,blue-collar,divorced,primary,no,8218,yes,no,cellular,31,jul,124,10,-1,0,unknown,no
248,35,self-employed,married,tertiary,no,560,yes,no,cellular,2,apr,58,1,136,1,failure,no
249,34,blue-collar,married,secondary,no,1412,yes,yes,unknown,27,may,157,2,-1,0,unknown,no
250,44,management,married,secondary,yes,0,yes,no,cellular,11,jul,96,2,-1,0,unknown,no
251,23,services,single,tertiary,no,363,yes,no,unknown,30,may,16,18,-1,0,unknown,no
252,40,management,married,tertiary,no,89,yes,yes,telephone,9,feb,148,6,-1,0,unknown,no
253,38,blue-collar,married,secondary,no,-388,yes,no,unknown,9,may,412,1,-1,0,unknown,no
254,41,admin.,married,tertiary,no,5426,yes,no,unknown,14,may,149,2,-1,0,unknown,no
255,47,admin.,married,secondary,no,1060,yes,no,unknown,6,jun,83,3,-1,0,unknown,no
256,39,management,divorced,tertiary,no,1315,yes,no,cellular,19,nov,1337,4,126,1,failure,no
257,28,blue-collar,single,secondary,no,3412,yes,no,cellular,15,may,22,4,-1,0,unknown,no
258,56,retired,divorced,primary,no,694,no,no,cellular,29,jan,144,1,102,1,other,yes
259,47,blue-collar,married,secondary,no,0,yes,no,cellular,21,jul,676,1,-1,0,unknown,no
260,27,management,single,tertiary,no,88,no,no,cellular,4,may,143,1,-1,0,unknown,no
261,35,technician,married,secondary,no,2,no,no,telephone,28,jan,653,3,-1,0,unknown,no
262,50,entrepreneur,divorced,tertiary,no,1790,no,yes,cellular,6,feb,748,3,-1,0,unknown,no
263,51,housemaid,divorced,secondary,no,9228,no,no,cellular,18,jul,655,4,-1,0,unknown,yes
264,54,management,divorced,tertiary,no,26306,yes,no,cellular,11,feb,27,1,84,3,failure,no
265,37,unemployed,single,tertiary,yes,0,yes,no,cellular,10,jul,108,1,-1,0,unknown,no
266,52,services,married,secondary,no,381,no,yes,cellular,25,aug,288,12,-1,0,unknown,no
267,36,services,married,secondary,no,895,yes,yes,unknown,4,jun,622,1,-1,0,unknown,no
268,53,admin.,single,secondary,no,2398,yes,no,cellular,2,aug,317,1,180,2,failure,yes
269,59,services,married,secondary,no,0,yes,no,cellular,12,may,214,3,-1,0,unknown,no
270,43,technician,single,secondary,no,34,no,no,telephone,30,jul,29,1,-1,0,unknown,no
271,45,technician,married,secondary,no,1415,yes,no,cellular,24,jul,311,1,-1,0,unknown,no
272,37,blue-collar,married,secondary,no,1053,no,no,unknown,16,jun,405,3,-1,0,unknown,no
273,37,housemaid,divorced,secondary,no,1040,yes,no,cellular,13,may,199,1,173,2,failure,no
274,36,technician,married,tertiary,no,629,yes,yes,cellular,29,dec,109,1,246,1,failure,no
275,25,self-employed,single,tertiary,no,453,yes,no,cellular,17,jul,134,1,-1,0,unknown,no
276,38,management,divorced,tertiary,no,4425,yes,no,unknown,30,may,162,1,-1,0,unknown,no
277,54,services,married,primary,no,8,yes,no,cellular,14,may,143,1,-1,0,unknown,no
278,43,management,divorced,tertiary,no,99,no,no,cellular,29,jan,24,3,-1,0,unknown,no
279,27,blue-collar,married,secondary,yes,-584,yes,no,cellular,7,may,411,2,-1,0,unknown,no
280,30,technician,single,secondary,no,3107,yes,no,unknown,3,jun,1516,2,-1,0,unknown,no
281,40,blue-collar,married,primary,no,-335,yes,no,unknown,27,may,260,1,-1,0,unknown,no
282,33,management,married,tertiary,no,752,yes,no,cellular,11,aug,104,4,-1,0,unknown,no
283,35,management,single,tertiary,no,2988,yes,no,cellular,25,may,179,1,-1,0,unknown,no
284,30,housemaid,single,tertiary,no,868,no,no,cellular,7,aug,387,2,-1,0,unknown,no
285,46,management,married,tertiary,no,1008,no,no,cellular,29,aug,24,13,-1,0,unknown,no
286,53,technician,married,primary,no,6839,yes,no,cellular,19,nov,77,1,-1,0,unknown,no
287,30,services,single,secondary,no,20,yes,no,cellular,20,apr,404,6,340,1,failure,no
288,23,student,single,secondary,no,9216,no,no,cellular,5,jun,471,2,-1,0,unknown,no
289,48,entrepreneur,married,tertiary,no,810,no,no,unknown,6,jun,383,1,-1,0,unknown,no
290,32,management,single,tertiary,no,2343,no,no,cellular,18,jul,226,1,-1,0,unknown,no
291,53,blue-collar,married,primary,no,53,yes,no,cellular,7,apr,208,1,140,1,failure,no
292,40,services,married,secondary,no,0,no,no,unknown,12,jun,543,2,-1,0,unknown,no
293,51,technician,married,tertiary,no,-3,no,no,cellular,25,aug,91,9,-1,0,unknown,no
294,33,management,single,tertiary,no,349,no,no,cellular,22,aug,182,1,-1,0,unknown,no
295,55,retired,married,tertiary,no,197,no,yes,cellular,8,jul,256,1,-1,0,unknown,no
296,49,technician,married,tertiary,no,3726,no,no,cellular,5,aug,875,2,-1,0,unknown,yes
297,41,blue-collar,married,secondary,no,4900,yes,no,telephone,31,jul,121,2,-1,0,unknown,no
